41468684,SUV,"montgomery, AL savannah, GA",$250 ($0.75/mi),YES
41468684,Car,"montgomery, AL savannah, GA",$250 ($0.75/mi),YES
41468684,Car,"columbus, GA rincon, GA",$160 ($0.65/mi),YES
41468684,SUV,"montgomery, AL savannah, GA",$220 ($0.65/mi),YES
41503567,Car,"moody, AL savannah, GA",$250 ($0.67/mi),YES
41503567,Car,"birmingham, AL savannah, GA",$250 ($0.65/mi),YES
41503567,Car,"birmingham, AL savannah, GA",$250 ($0.65/mi),YES
41503567,Car,"moody, AL savannah, GA",$225 ($0.60/mi),YES
41503567,Car,"birmingham, AL savannah, GA",$225 ($0.59/mi),YES
41398869,SUV,"columbus, GA atlanta, GA",$200 ($1.74/mi),YES
41398869,SUV,"pelham, AL atlanta, GA",$150 ($0.86/mi),YES
41398869,SUV,"pelham, AL atlanta, GA",$125 ($0.71/mi),YES
41398869,SUV,"birmingham, AL tucker, GA",$125 ($0.71/mi),YES
41398869,SUV,"dothan, AL tucker, GA",$150 ($0.65/mi),Still Posted
41442671,Pickup,"decatur, AL west monroe, LA",$440 ($0.97/mi),YES
41442671,Car,"birmingham, AL hammond, LA",$250 ($0.68/mi),YES
41442671,Car,"moody, AL bossier city, LA",$300 ($0.63/mi),YES
41442671,Car,"moody, AL shreveport, LA",$275 ($0.58/mi),YES
41442671,Car,"moody, AL monroe, LA",$200 ($0.53/mi),YES
41465680,Car,"mount juliet, TN johnston, RI",$600 ($0.57/mi),YES
41465680,Sedan Midsize,"madison, AL hudson, MA",$550 ($0.48/mi),YES
41465680,Car,"murfreesboro, TN sudbury, MA",$450 ($0.41/mi),YES
41465680,Car,"nashville, TN amherst, MA",$400 ($0.38/mi),YES
41465680,Car,"madison, AL hudson, MA",$401 ($0.35/mi),Unknown
41445942,Car,"tanner, AL detroit, MI",$400 ($0.62/mi),YES
41445942,Car,"birmingham, AL taylor, MI",$425 ($0.59/mi),YES
41445942,Car,"nashville, TN detroit, MI",$300 ($0.55/mi),YES
41445942,Car,"brentwood, TN novi, MI",$300 ($0.54/mi),YES
41445942,Car,"chattanooga, TN dearborn, MI",$275 ($0.45/mi),YES
41388892,SUV,"orange beach, AL harbor beach, MI",$595 ($0.53/mi),Unknown
41388892,SUV,"milton, FL dearborn heights, MI",$500 ($0.53/mi),YES
41388892,SUV,"moss point, MS romeo, MI",$500 ($0.48/mi),YES
41388892,SUV,"orange beach, AL detroit, MI",$475 ($0.47/mi),Still Posted
41388892,SUV,"eight mile, AL oak park, MI",$450 ($0.46/mi),YES
41482085,Pickup,"jasper, AL watertown, SD","$1,100 ($0.98/mi)",YES
41502068,Car,"montgomery, AL saint paul, MN",$600 ($0.51/mi),YES
41502068,Car,"marietta, GA chanhassen, MN",$500 ($0.45/mi),YES
41502068,Car,"atlanta, GA wayzata, MN",$450 ($0.40/mi),YES
41502068,Car,"atlanta, GA minneapolis, MN",$450 ($0.40/mi),YES
41502068,Car,"marietta, GA wayzata, MN",$400 ($0.35/mi),YES
41403193,Van,"trussville, AL oaklyn, NJ",$775 ($0.90/mi),YES
41403193,Pickup,"trussville, AL westville, NJ",$650 ($0.76/mi),YES
41403193,Pickup,"trussville, AL marlton, NJ",$655 ($0.75/mi),YES
41403193,Pickup,"trussville, AL marlton, NJ",$655 ($0.75/mi),YES
41403193,Car,"smyrna, GA egg harbor twp, NJ",$500 ($0.61/mi),YES
41484830,Car,"huntsville, AL albuquerque, NM",$700 ($0.57/mi),Unknown
41484830,Car,"birmingham, AL albuquerque, NM",$700 ($0.57/mi),Unknown
41484830,Car,"marietta, GA clines corners, NM",$700 ($0.53/mi),YES
41484830,Car,"marietta, GA albuquerque, NM",$700 ($0.50/mi),YES
41484830,Car,"huntsville, AL albuquerque, NM",$500 ($0.41/mi),YES
41489548,Car,"greensboro, AL las vegas, NV",$800 ($0.45/mi),YES
41489548,Car,"oxford, MS las vegas, NV",$725 ($0.44/mi),YES
41489548,SUV Small,"birmingham, AL las vegas, NV",$725 ($0.40/mi),YES
41489548,Car,"tuscaloosa, AL fort irwin, CA",$750 ($0.39/mi),YES
41489548,Car,"oxford, AL las vegas, NV",$700 ($0.37/mi),YES
41485997,SUV                                                           ( inop ),"moss point, MS newark, NJ",$500 ($0.40/mi),YES
41485997,SUV                                                           ( inop ),"moss point, MS linden, NJ",$500 ($0.40/mi),YES
41485997,SUV                                                           ( inop ),"moss point, MS rahway, NJ",$500 ($0.40/mi),YES
41485997,SUV  ( inop ),"moss point, MS irvington, NJ",$500 ($0.40/mi),Still Posted
41485997,SUV                                                           ( inop ),"moss point, MS irvington, NJ",$450 ($0.36/mi),YES
41418272,Car,"decatur, GA toledo, OH",$400 ($0.59/mi),YES
41418272,Car,"birmingham, AL taylor, MI",$425 ($0.59/mi),YES
41418272,Car,"tucker, GA toledo, OH",$350 ($0.52/mi),YES
41418272,Car,"austell, GA belleville, MI",$350 ($0.49/mi),YES
41418272,Car,"atlanta, GA saline, MI",$300 ($0.43/mi),YES
