listingId,vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
41456276,SUV,False,1,jonesboro,AR,gloucester,VA,952.3809523809524,600.0,0.63,0,0,0,0,0,1,0,0,0,0,0
41456276,SUV,False,1,scott,AR,philadelphia,PA,1187.5,475.0,0.4,0,0,0,0,0,1,0,0,0,0,0
41456276,SUV,False,1,scott,AR,baltimore,MD,1041.6666666666667,375.0,0.36,0,0,0,0,0,1,0,0,0,0,0
41456276,Car,False,1,benton,AR,glen burnie,MD,1093.75,350.0,0.32,0,0,0,1,0,0,0,0,0,0,0
41490791,SUV,False,1,springfield,MO,mount clemens,MI,769.2307692307692,500.0,0.65,0,0,0,0,0,1,0,0,0,0,0
41490791,SUV,False,1,rogersville,MO,dearborn,MI,737.7049180327868,450.0,0.61,0,0,0,0,0,1,0,0,0,0,0
41490791,SUV,False,1,prairie grove,AR,detroit,MI,916.6666666666667,550.0,0.6,0,0,0,0,0,1,0,0,0,0,0
41490791,SUV,False,1,bentonville,AR,redford,MI,892.8571428571428,500.0,0.56,0,0,0,0,0,1,0,0,0,0,0
41490791,SUV,False,1,rogersville,MO,dearborn,MI,740.7407407407406,400.0,0.54,0,0,0,0,0,1,0,0,0,0,0
41485826,Pickup Full-size,True,0,conway,AR,detroit,MI,882.3529411764705,600.0,0.68,0,0,0,0,0,0,0,0,0,0,0
41485826,Car,True,1,scott,AR,detroit,MI,882.3529411764706,450.0,0.51,0,0,0,1,0,0,0,0,0,0,0
41485826,SUV,True,1,conway,AR,detroit,MI,918.3673469387755,450.0,0.49,0,0,0,0,0,1,0,0,0,0,0
41485826,SUV,True,1,conway,AR,farmington,MI,918.3673469387755,450.0,0.49,0,0,0,0,0,1,0,0,0,0,0
41485826,Car,True,1,scott,AR,detroit,MI,892.8571428571429,375.0,0.42,0,0,0,1,0,0,0,0,0,0,0
41479344,Car,False,1,lincoln,AR,saint paul,MN,688.4057971014494,475.0,0.69,0,0,0,1,0,0,0,0,0,0,0
41479344,SUV,False,1,rogers,AR,minneapolis,MN,661.7647058823529,450.0,0.68,0,0,0,0,0,1,0,0,0,0,0
41479344,SUV,False,1,springfield,MO,minneapolis,MN,606.060606060606,400.0,0.66,0,0,0,0,0,1,0,0,0,0,0
41479344,SUV,False,1,springfield,MO,wayzata,MN,625.0,400.0,0.64,0,0,0,0,0,1,0,0,0,0,0
41479344,SUV,True,1,prairie grove,AR,blaine,MN,701.7543859649123,400.0,0.57,0,0,0,0,0,1,0,0,0,0,0
41499995,Car,True,1,little rock,AR,jonesboro,AR,144.62809917355372,175.0,1.21,0,0,0,1,0,0,0,0,0,0,0
41499995,Pickup,True,1,conway,AR,saint james,MO,301.7241379310345,350.0,1.16,0,0,0,0,0,0,1,0,0,0,0
