listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,delivery.city,numVehicles,vehiclesCount,vehicleOperable,vehicles,vehicle_make,vehicle_types,wideLoad,pickup.state,pickup.latitude,pickup.longitude,pickup.city,preferred_shipper,price,truckMiles,rating_count,rating_license,rating_score
41014988,"M&J Auto Transport, Inc.",False,GA,33.660000,-84.390000,Atlanta,1,1,True,(Pickup),2014 chevrolet silverado 1500,(Pickup),0,PA,41.455198,-78.534180,Saint Marys,False,500,811,168,valid,99.1%
41457730,Diz  LLC / Molly Anne LLC,False,GA,33.584661,-84.329880,morrow,1,1,True,(Car),2013 chevrolet camaro,(Car),0,PA,40.958738,-75.299196,stroudsburg,False,450,840,337,valid,99.3%
41109615,Dixon Worldwide Logistics Inc,True,GA,33.740890,-84.563616,atlanta,1,1,True,(SUV),2001 jeep grand cherokee,(SUV),0,PA,40.215802,-75.072952,warminster,False,375,836,332,valid,97.7%
41484663,Big Mac Transport & Towing LLC,True,GA,33.719683,-84.007168,Conyers,1,1,False,(Car),2014 nissan altima,(Car),0,PA,40.362986,-79.901734,West Mifflin,False,350,676,48,valid,93.8%
41371009,"Mr. Car Shipper, LLC",False,HI,21.985465,-159.417695,lihue,1,1,True,(Van),2009 vw routan,(Van),0,PA,40.255362,-75.481570,schwenksville,False,2250,-1,726,valid,99.6%
41493092,B-drips,True,IA,42.024733,-91.661330,cedar rapids,1,1,True,(Pickup),2016 chevrolet 2500 4x4 wt reg cab,(Pickup),0,PA,40.584187,-77.585102,lewistown,False,570,835,779,valid,100.0%
41505981,"Premier Transportation, Inc.",True,IA,43.133894,-91.957615,fort atkinson,3,3,True,(3 Car),"2005 pontiac grand prix
 2012 chevrolet impala
 2012 chevrolet malibu",(3 Car),0,PA,40.244057,-79.631213,new stanton,False,1275,786,505,valid,99.8%
41503773,McGrath Buick Cadillac GMC,True,IA,42.053650,-91.686840,hiawatha,1,1,True,(SUV),2014 chevrolet equinox,(SUV),0,PA,39.977234,-76.095698,paradise,False,500,943,641,valid,100.0%
41497019,McGrath Buick Cadillac GMC,True,IA,42.053650,-91.686840,hiawatha,1,1,True,(Car),2012 chrysler 200,(Car),0,PA,41.423482,-75.698875,scranton,False,500,941,641,valid,100.0%
41417907,Massrec LLC,True,IA,42.655211,-95.160984,storm lake,1,1,True,(Pickup),2010 dodge ram pickup 3500 single cab,(Pickup),0,PA,40.037788,-79.123666,somerset,False,750,967,337,valid,99.4%
