vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
Car,False,1,atlanta,GA,colorado springs,CO,1395.3488372093022,600.0,0.43000000000000005,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,atlanta,GA,castle rock,CO,1395.3488372093022,600.0,0.43000000000000005,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,montgomery,AL,co spgs,CO,1428.5714285714287,600.0,0.42,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,bessemer,AL,jacksonville,FL,482.4561403508772,275.0,0.57,0,0,0,0,0,1,0,0,0,0,0
Car,False,1,pelham,AL,jacksonville,FL,462.96296296296293,250.0,0.54,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,birmingham,AL,jacksonville,FL,450.0,225.0,0.5,0,0,0,0,0,1,0,0,0,0,0
Car,False,1,hueytown,AL,jacksonville,FL,468.75,225.0,0.48,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,jacksonville,FL,448.71794871794873,175.0,0.39,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,moody,AL,fort lauderdale,FL,776.7857142857142,435.0,0.56,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,bessemer,AL,lauderhill,FL,760.8695652173913,350.0,0.46,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,moody,AL,hallandale,FL,777.7777777777777,350.0,0.45,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,moody,AL,fort lauderdale,FL,769.2307692307692,300.0,0.39,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,moody,AL,fort lauderdale,FL,769.2307692307692,300.0,0.39,0,0,0,0,0,1,0,0,0,0,0
Car,True,1,headland,AL,jacksonville,FL,265.95744680851067,250.0,0.94,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,montgomery,AL,jacksonville,FL,367.6470588235294,250.0,0.68,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,bessemer,AL,jacksonville,FL,450.81967213114757,275.0,0.61,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,bessemer,AL,jacksonville,FL,450.81967213114757,275.0,0.61,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,bessemer,AL,jacksonville,FL,454.5454545454545,250.0,0.55,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,moody,AL,lilburn,GA,150.0,150.0,1.0,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,bessemer,AL,austell,GA,150.0,150.0,1.0,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,tanner,AL,norcross,GA,214.2857142857143,150.0,0.7,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,hueytown,AL,atlanta,GA,169.49152542372883,100.0,0.59,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,tanner,AL,atlanta,GA,240.3846153846154,125.0,0.52,0,0,0,1,0,0,0,0,0,0,0
SUV,True,1,eight mile,AL,savannah,GA,500.0,250.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,eight mile,AL,savannah,GA,500.0,250.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,eight mile,AL,savannah,GA,500.0,250.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,eight mile,AL,savannah,GA,500.0,250.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,eight mile,AL,savannah,GA,500.0,250.0,0.5,0,0,0,0,0,1,0,0,0,0,0
Pickup,False,1,tanner,AL,port wentworth,GA,483.8709677419355,300.0,0.62,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,cartersville,GA,rincon,GA,290.9090909090909,160.0,0.55,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,austell,GA,savannah,GA,259.25925925925924,140.0,0.54,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,cartersville,GA,rincon,GA,288.46153846153845,150.0,0.52,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,athens,AL,savannah,GA,490.19607843137254,250.0,0.51,0,0,0,0,0,0,1,0,0,0,0
SUV,False,1,montgomery,AL,savannah,GA,333.3333333333333,250.0,0.75,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,montgomery,AL,savannah,GA,333.3333333333333,250.0,0.75,0,0,0,0,0,1,0,0,0,0,0
Car,False,1,montgomery,AL,savannah,GA,333.3333333333333,250.0,0.75,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,columbus,GA,rincon,GA,246.15384615384613,160.0,0.65,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,montgomery,AL,savannah,GA,338.46153846153845,220.0,0.65,0,0,0,0,0,1,0,0,0,0,0
Car,False,1,moody,AL,savannah,GA,373.13432835820896,250.0,0.67,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,savannah,GA,384.6153846153846,250.0,0.65,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,savannah,GA,384.6153846153846,250.0,0.65,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,moody,AL,savannah,GA,375.0,225.0,0.6,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,savannah,GA,381.35593220338984,225.0,0.59,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,columbus,GA,atlanta,GA,114.94252873563218,200.0,1.74,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,pelham,AL,atlanta,GA,174.41860465116278,150.0,0.8600000000000001,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,pelham,AL,atlanta,GA,176.05633802816902,125.0,0.71,0,0,0,0,0,1,0,0,0,0,0
