vehicles,in_operation,num_vehicles,origin,destination,price,miles
Car,0,1,"montebello, CA","roseville, CA",200,416.667
Other,0,1,"corona, CA","south gate, CA",150,57.0342
Car,0,1,"long beach, CA","riverside, CA",75,50
Pickup,0,1,"san luis obispo, CA","san diego, CA",400,320
Car,1,1,"elk grove, CA","richmond, CA",125,89.2857
Car,0,1,"tracy, CA","oakland, CA",80,47.0588
SUV,0,1,"hollister, CA","reseda, CA",200,307.692
Car,0,1,"fresno, CA","long beach, CA",140,241.379
"Car, Car",0,2,"riverside, CA","costa mesa, CA",170,100
Car,0,1,"van nuys, CA","santa maria, CA",180,142.857
Car,0,1,"roseville, CA","palo alto, CA",150,133.929
Pickup,0,1,"santa ana, CA","corning, CA",400,533.333
Car,0,1,"san diego, CA","bakersfield, CA",160,219.178
Car,0,1,"north hills, CA","chico, CA",375,468.75
Pickup Crew Cab,0,1,"fullerton, CA","arcata, CA",600,689.655
Car,0,1,"rancho cordova, CA","gardena, CA",175,406.977
Car,0,1,"hayward, CA","south san francisco, CA",150,29.0135
Car,0,1,"Carlsbad, CA","Bakersfield, CA",118,187.302
Car,0,1,"fairfield, CA","sherman oaks, CA",180,382.979
SUV,0,1,"escondido, CA","san jose, CA",375,457.317
"Car, SUV",1,2,"fontana, CA","long beach, CA",150,128.205
SUV,0,1,"reno, NV","oakland, CA",250,225.225
Car,1,1,"reno, NV","rancho cordova, CA",150,145.631
Car,0,1,"mira loma, CA","walnut creek, CA",200,408.163
Pickup,0,1,"riverdale, CA","richmond, CA",275,203.704
Car,0,1,"san francisco, CA","long beach, CA",225,409.091
Car,0,1,"chino, CA","carlsbad, CA",100,78.7402
"Car, SUV",0,2,"mira loma, CA","montebello, CA",140,80
Other,1,1,"watsonville, CA","hayward, CA",115,70.9877
Van,0,1,"anderson, CA","richmond, CA",200,192.308
Pickup,0,1,"paramount, CA","union city, CA",325,382.353
"Pickup, SUV",0,2,"anaheim, CA","montebello, CA",100,55.8659
Car,1,1,"hayward, CA","carson, CA",170,377.778
"Car, Car, Car",0,3,"newport beach, CA","fresno, CA",600,810.811
Car,0,1,"oceanside, CA","south san francisco, CA",350,479.452
Van,0,1,"oceanside, CA","fontana, CA",200,76.0456
Pickup,0,1,"whittier, CA","auburn, CA",300,441.176
Car,0,1,"national city, CA","upland, CA",100,121.951
Car,1,1,"hayward, CA","glendale, CA",200,363.636
Car,1,1,"los angeles, CA","lakeside, CA",100,136.986
Van,0,1,"mc farland, CA","inglewood, CA",150,137.615
Car,0,1,"redding, CA","oxnard, CA",250,555.556
Car,0,1,"oakland, CA","san carlos, CA",150,35.9712
Pickup,0,1,"north hollywood, CA","anaheim, CA",100,52.0833
Car,0,1,"pasadena, CA","sacramento, CA",225,401.786
Car,0,1,"san francisco, CA","santa barbara, CA",250,316.456
SUV,0,1,"anaheim, CA","port hueneme, CA",150,86.2069
SUV,0,1,"san jose, CA","modesto, CA",55,85.9375
Car,1,1,"los angeles, CA","long beach, CA",50,20
Pickup,0,1,"newark, CA","placentia, CA",200,400
Car,0,1,"santa ana, CA","fresno, CA",175,265.152
SUV,0,1,"san jose, CA","la puente, CA",175,350
"SUV, SUV, SUV",0,3,"los angeles, CA","martinez, CA",550,1122.45
Car,0,1,"colton, CA","north highlands, CA",200,454.545
SUV,1,1,"martinez, CA","gardena, CA",175,388.889
"Van, Van",0,2,"san diego, CA","mira loma, CA",275,213.178
SUV,0,1,"chula vista, CA","sacramento, CA",200,512.821
SUV,0,1,"redondo beach, CA","riverside, CA",100,64.1026
