vehicles,in_operation,num_vehicles,origin,destination,price,miles,total_weight
SUV,0,1,"temecula, CA","north highlands, CA",300,483.871,4259
Car,1,1,"fremont, CA","wilmington, CA",175,380.435,3497
Car,0,1,"gardena, CA","modesto, CA",250,337.838,3497
Car,0,1,"long beach, CA","san jose, CA",225,362.903,3497
Car,0,1,"van nuys, CA","anaheim, CA",125,51.0204,3497
"Car, Car, Car",0,3,"riverside, CA","bakersfield, CA",255,455.357,10491
SUV,1,1,"sacramento, CA","paramount, CA",175,397.727,4259
"Car, Car, Car, Car, Car, Car, Car, Car, Car",0,9,"mira loma, CA","fresno, CA",1215,2700,31473
Car,0,1,"Sacramento, CA","Arcata, CA",300,322.581,3497
Car,0,1,"anaheim, CA","elk grove, CA",200,400,3497
Car,0,1,"san diego, CA","sacramento, CA",300,508.475,3497
Car,0,1,"riverside, CA","palo alto, CA",250,409.836,3497
Car,0,1,"hacienda heights, CA","bakersfield, CA",100,116.279,3497
"Car, Car, Car, Car, Car, Pickup, SUV",0,7,"mira loma, CA","fresno, CA",945,1890,27744
Car,0,1,"gardena, CA","irvine, CA",70,41.9162,3497
"Car, Car",0,2,"sacramento, CA","fremont, CA",200,224.719,6994
Car,0,1,"san diego, CA","fair oaks, CA",270,519.231,3497
Car,1,1,"glendale, CA","concord, CA",345,363.158,3497
"Pickup, Pickup",0,2,"tracy, CA","la mesa, CA",1050,897.436,12000
Other,0,1,"los angeles, CA","murrieta, CA",300,90.9091,
SUV,0,1,"rancho cucamonga, CA","visalia, CA",200,227.273,4259
SUV,0,1,"tracy, CA","paso robles, CA",200,206.186,4259
Pickup,0,1,"san diego, CA","los altos hills, CA",390,487.5,6000
Car,1,1,"los osos, CA","carson, CA",250,219.298,3497
Car,1,1,"los angeles, CA","wilmington, CA",75,23.9617,3497
SUV,0,1,"hayward, CA","south san francisco, CA",200,28.9855,4259
Car,0,1,"north hollywood, CA","anaheim, CA",85,52.1472,3497
Car,0,1,"north hollywood, CA","santa ana, CA",120,54.0541,3497
"Car, Car, Car, Car, Car, Car, Car, Car",0,8,"riverside, CA","sacramento, CA",1280,3459.46,27976
Car,0,1,"sunnyvale, CA","san diego, CA",300,461.538,3497
Car,0,1,"escondido, CA","la mirada, CA",100,87.7193,3497
SUV,1,1,"rancho cucamonga, CA","commerce, CA",75,48.0769,4259
SUV,0,1,"reno, NV","lafayette, CA",300,208.333,4259
Car,0,1,"clovis, CA","richmond, CA",250,198.413,3497
Van,0,1,"hayward, CA","commerce, CA",175,372.34,4500
Other,0,1,"burlingame, CA","pasadena, CA",100,384.615,
Pickup,1,1,"sacramento, CA","gardena, CA",150,394.737,6000
Car,0,1,"los angeles, CA","lake elsinore, CA",75,78.125,3497
Van,0,1,"mira loma, CA","gardena, CA",125,55.0661,4500
Other,0,1,"anaheim, CA","capitola, CA",200,370.37,
Car,0,1,"carson, CA","san diego, CA",110,114.583,3497
Sedan Small,1,1,"oxnard, CA","cypress, CA",200,82.9876,2979
Car,0,1,"san martin, CA","lake forest, CA",200,363.636,3497
SUV,0,1,"fremont, CA","fontana, CA",200,408.163,4259
Car,0,1,"san diego, CA","anaheim, CA",100,112.36,3497
"Car, Car, Car",0,3,"anaheim, CA","corte madera, CA",750,1271.19,10491
Car,0,1,"north hills, CA","port hueneme, CA",125,51.0204,3497
Other,0,1,"costa mesa, CA","san jose, CA",200,377.358,
SUV,0,1,"tracy, CA","san diego, CA",250,454.545,4259
"SUV, SUV",0,2,"san diego, CA","daly city, CA",600,1016.95,8518
Car,0,1,"corona, CA","bakersfield, CA",90,155.172,3497
Car,0,1,"gardena, CA","corona, CA",80,55.9441,3497
Car,0,1,"woodland, CA","hayward, CA",85,100,3497
"Car, SUV, SUV, SUV",0,4,"riverside, CA","corte madera, CA",1050,1779.66,16274
SUV,0,1,"oceano, CA","el monte, CA",200,190.476,4259
"Car, Car",0,2,"tracy, CA","riverside, CA",350,760.87,6994
Car,0,1,"el cajon, CA","costa mesa, CA",125,96.1538,3497
Car,0,1,"riverside, CA","anaheim, CA",85,25.9939,3497
Car,1,1,"los angeles, CA","wilmington, CA",75,17.0068,3497
Car,0,1,"fontana, CA","san leandro, CA",250,409.836,3497
Pickup,0,1,"san jose, CA","placentia, CA",200,363.636,6000
SUV,0,1,"elk grove, CA","san diego, CA",250,490.196,4259
Car,0,1,"bakersfield, CA","santa monica, CA",150,126.05,3497
Car,0,1,"menlo park, CA","valencia, CA",200,327.869,3497
Car,0,1,"oceano, CA","el monte, CA",300,191.083,3497
"Car, Car, Car, Car, SUV",0,5,"hayward, CA","modesto, CA",275,343.75,18247
Van,0,1,"whittier, CA","redding, CA",600,566.038,4500
Car,0,1,"culver city, CA","san diego, CA",150,129.31,3497
Car,0,1,"moraga, CA","ventura, CA",250,384.615,3497
SUV,0,1,"glendale, CA","port hueneme, CA",100,62.1118,4259
Car,0,1,"garden grove, CA","fresno, CA",131,262,3497
SUV,0,1,"san diego, CA","yuba city, CA",425,537.975,4259
Car,0,1,"san carlos, CA","richmond, CA",175,39.9543,3497
Car,0,1,"venice, CA","san diego, CA",100,121.951,3497
Pickup,0,1,"san diego, CA","brentwood, CA",370,462.5,6000
SUV,0,1,"norwalk, CA","san jose, CA",225,357.143,4259
Car,0,1,"newark, CA","irvine, CA",200,400,3497
"Car, Car, Car",0,3,"mira loma, CA","oxnard, CA",180,321.429,10491
Car,0,1,"los angeles, CA","riverside, CA",100,64.9351,3497
SUV Large,0,1,"la habra, CA","weed, CA",500,641.026,5411
Pickup,0,1,"encinitas, CA","la mirada, CA",100,81.3008,6000
"Pickup, Van",0,2,"pomona, CA","irvine, CA",300,77.9221,10500
Car,0,1,"hayward, CA","apple valley, CA",175,416.667,3497
Car,0,1,"fremont, CA","santa ana, CA",200,400,3497
Car,0,1,"fontana, CA","pomona, CA",85,22.0207,3497
Car,1,1,"martinez, CA","oakland, CA",100,34.0136,3497
Car,0,1,"martinez, CA","richmond, CA",150,21.9941,3497
Car,0,1,"mira loma, CA","rancho cordova, CA",200,434.783,3497
Sedan Small,0,1,"sacramento, CA","mckinleyville, CA",800,333.333,2979
Car,0,1,"los angeles, CA","richmond, CA",250,378.788,3497
Car,1,1,"san martin, CA","commerce, CA",200,322.581,3497
Pickup,0,1,"roseville, CA","los angeles, CA",200,416.667,6000
Car,0,1,"valencia, CA","bakersfield, CA",80,74.7664,3497
Car,1,1,"lancaster, CA","wilmington, CA",160,103.226,3497
Sedan Midsize,0,1,"mill valley, CA","san diego, CA",350,514.706,3497
Car,0,1,"san diego, CA","san francisco, CA",350,492.958,3497
10 Van,0,1,"sunnyvale, CA","tracy, CA",1501,470.533,45000
"Car, SUV",0,2,"riverside, CA","corte madera, CA",500,892.857,7756
Car,0,1,"aromas, CA","richmond, CA",200,98.0392,3497
Car,0,1,"anaheim, CA","roseville, CA",225,441.176,3497
SUV,0,1,"thousand oaks, CA","escondido, CA",100,163.934,4259
Van,0,1,"long beach, CA","anaheim, CA",75,21.9941,4500
Car,1,1,"bakersfield, CA","anaheim, CA",125,131.579,3497
Van Full-size,0,1,"santa rosa, CA","laguna niguel, CA",475,479.798,5390
SUV,0,1,"san martin, CA","sun valley, CA",175,301.724,4259
