listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,numVehicles,vehiclesCount,vehicleOperable,vehicles,wideLoad,pickup.state,pickup.latitude,pickup.longitude,preferred_shipper,price,rating_count,rating_license,rating_score
41484291,United Road Logistics LLC,1,FL,26.579592,-81.828676,1,0,1,(Pickup),0,AL,33.351416,-86.821528,0,383,1167,1,98.7%
41442693,Prestige Shipping Inc.,1,FL,30.456169,-81.537453,1,1,0,(SUV),0,AL,33.462639,-87.092621,0,250,54,1,100.0%
41490777,Roshan Motors Llc (prev. JAX Auto Sale),1,FL,30.344659,-81.734322,1,1,1,(Car),0,AL,33.462639,-87.092621,0,200,102,1,97.5%
41409149,Massrec LLC,1,FL,27.250109,-80.383096,1,1,1,(Car),0,AL,34.759182,-86.689641,0,250,337,1,99.4%
41225000,Direct Connect Auto Transport Inc.,1,FL,26.241801,-80.164602,1,1,1,(SUV),0,AL,33.540920,-86.674476,0,350,1942,1,100.0%
41398318,Qbic Freight Solutions LLC,1,FL,26.084586,-80.177016,1,1,1,(Car),0,AL,33.855077,-85.775960,0,400,143,1,100.0%
41483209,Carsarrive Network Inc.,1,FL,30.454597,-87.258345,1,1,1,(Car),0,AL,30.665624,-88.103864,0,140,953,1,99.4%
41144662,Patriot Express Global,0,FL,30.338800,-81.671400,1,1,1,(Motorcycle),0,AL,31.499156,-87.329404,0,150,9,1,100.0%
41448527,"Mercury Auto Transport, Inc.",1,FL,26.730507,-81.845898,1,1,1,(SUV),0,AL,32.404500,-86.245900,0,350.22,2712,1,100.0%
41488940,Coggin Honda,1,FL,30.353900,-81.499068,1,1,1,(Car),0,AL,33.603374,-86.494434,0,200,30,1,100.0%
41488942,Coggin Honda,1,FL,30.353900,-81.499068,1,1,1,(Car),0,AL,33.603374,-86.494434,0,200,30,1,100.0%
41488941,Coggin Honda,1,FL,30.353900,-81.499068,1,1,1,(Car),0,AL,33.603374,-86.494434,0,200,30,1,100.0%
41472089,SGT Auto Transport,1,FL,27.255856,-82.517414,1,1,1,(Car),0,AL,33.603374,-86.494434,0,300,537,1,99.8%
41456146,Cire Leasing,1,FL,28.570418,-81.535782,1,1,1,(Pickup),0,AL,33.603374,-86.494434,0,275,218,1,99.5%
41482279,Cire Leasing,1,FL,28.570418,-81.535782,1,1,1,(SUV),0,AL,33.603374,-86.494434,0,250,218,1,99.5%
41488062,MetroGistics LLC,1,FL,28.004875,-82.505808,1,1,1,(Car),0,AL,33.309422,-86.764955,0,425,2680,1,100.0%
41309389,Auto Shipping Group Inc.,1,FL,27.587240,-80.384540,1,1,1,(SUV),0,AL,33.412996,-88.038080,0,300,950,1,99.5%
41492743,United Road Logistics LLC,1,GA,33.995107,-83.706529,1,0,1,(Car),0,AL,31.335360,-86.408769,0,144,1167,1,98.7%
41385348,J&S Affordable Auto Broker and Parts Deale...,1,GA,33.813800,-84.550292,1,1,0,(Car),0,AL,34.321754,-86.496857,0,100,70,1,87.1%
41455257,"Baltic Auto Shipping, Inc",0,GA,32.082868,-81.137852,1,1,1,(Motorcycle),0,AL,34.765786,-87.108167,0,150,1053,1,99.6%
41468147,"Baltic Auto Shipping, Inc",0,GA,32.082868,-81.137852,1,1,1,(Car),0,AL,33.405847,-86.952715,0,225,1053,1,99.6%
41488122,V&S Brothers Inc,1,GA,32.182094,-81.197620,1,1,0,(Car),0,AL,33.462639,-87.092621,0,250,809,1,99.8%
41425103,MetroGistics LLC,0,GA,31.581331,-84.151910,1,1,1,(Car),0,AL,33.519260,-86.807546,0,280,2680,1,100.0%
41469028,Diz  LLC / Molly Anne LLC,0,GA,33.956300,-83.988100,4,4,1,(4 SUV),0,AL,33.519260,-86.807546,0,450,336,1,99.3%
41492525,United Road Logistics LLC,1,GA,33.621890,-84.521194,1,0,0,(SUV),0,AL,33.540920,-86.674476,0,250,1167,1,98.7%
41484075,International Express Shipping Inc,1,GA,32.182094,-81.197620,1,1,1,(Car),0,AL,33.540920,-86.674476,0,200,968,1,100.0%
41491448,"Al-Shati Al-Azark Showroom, Sale & Export ...",1,GA,32.292755,-81.231372,1,1,1,(Car),0,AL,30.808850,-88.178103,0,250,477,1,100.0%
41486379,ShipYourCarNow LLC,1,GA,34.001740,-83.350823,1,1,1,(Pickup),0,AL,30.383821,-87.715678,0,250,3259,1,99.8%
41484358,United Road Logistics LLC,1,GA,33.642552,-84.446495,1,0,1,(SUV),0,AL,34.035866,-85.865917,0,100,1167,1,98.7%
41484359,United Road Logistics LLC,1,GA,33.642552,-84.446495,1,0,1,(SUV),0,AL,34.035866,-85.865917,0,100,1167,1,98.7%
41483998,United American Auto Transport,1,GA,34.108712,-84.637923,1,1,1,(Car),0,AL,32.707870,-87.616988,0,100,2111,1,100.0%
41488613,Daw Shipping Services,1,GA,33.517870,-84.323622,1,1,1,(Car),0,AL,31.365057,-85.316170,0,150,50,1,100.0%
41436965,ARC Trucking Corp (prev. Harbor Auto Trans...,0,GA,34.313648,-83.810556,1,1,1,(Car),0,AL,31.365057,-85.316170,0,160,155,1,100.0%
41491183,"Baltic Auto Shipping, Inc",1,GA,32.082868,-81.137852,1,1,1,(Car),0,AL,31.365057,-85.316170,0,250,1053,1,99.6%
41434812,"Sims Waters & Associates, Inc",1,GA,32.182094,-81.197620,1,1,1,(Pickup),0,AL,34.640756,-85.720746,0,300,225,1,100.0%
41432040,Moto-Leader,1,GA,32.036444,-81.168404,1,1,0,(Car),0,AL,33.462639,-87.092621,0,225,285,1,100.0%
41397714,ABC Trucking & Logistics LLC,1,GA,32.075798,-81.075624,1,1,1,(SUV),0,AL,30.666570,-88.266256,0,250,293,1,99.7%
41484810,International Express Shipping Inc,1,GA,32.182094,-81.197620,1,1,1,(Car),0,AL,30.665624,-88.103864,0,250,968,1,100.0%
41473516,Swift Intercontinental Services Inc,1,GA,33.706736,-84.379520,1,1,1,(Car),0,AL,32.252150,-86.208627,0,125,27,1,96.3%
41490550,Executive Auto & Logistic (prev. Providenc...,1,GA,33.856022,-84.213682,1,1,1,(Car),0,AL,32.252150,-86.208627,0,125,184,1,95.1%
41491587,Sharp Enterprise of GA Inc.,1,GA,33.759169,-84.645160,1,1,1,(Car),0,AL,32.252150,-86.208627,0,125,224,1,99.6%
41491662,Culver Carriers Brokerage LLC,0,GA,33.770900,-84.292375,1,1,1,(Car),0,AL,32.369423,-86.159596,0,150,1042,1,99.9%
41491564,The Parts Farm,1,GA,32.162738,-82.304027,1,1,0,(Car),0,AL,32.252150,-86.208627,0,250,59,1,98.3%
41487284,"North American Auto Logistics, LLC",1,GA,32.794430,-83.672862,9,1,1,(9 Car),0,AL,32.337500,-86.404014,0,850,141,1,100.0%
41435209,C&C Towing&Transport,1,GA,33.621890,-84.521194,1,1,1,(Car),0,AL,33.575430,-85.849327,0,100,43,1,97.7%
